team,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
HOU,2016,-6,0.052,0.023,272,6,5277,3418,1859,15,9,1,173,102,16,19,8,0,11,16,6,7,1,31,567,456,0.57,0.41,0.58,0.41
IND,2016,1,0.067,0.047,408,18,6119,4491,1628,32,14,1,220,93,15,15,7,1,8,19,9,15,0,33,569,409,0.6,0.38,0.6,0.39
JAX,2016,-12,0.058,0.034,321,18,5556,3925,1631,24,10,1,207,75,16,21,12,1,7,19,7,9,0,33,610,393,0.63,0.37,0.56,0.42
KC,2016,15,0.061,0.037,344,6,5662,3914,1748,19,16,5,197,86,8,21,10,0,18,24,14,15,1,28,538,412,0.58,0.4,0.59,0.4
LA,2016,-6,0.049,0.026,224,36,4565,3313,1252,14,9,1,151,68,20,25,9,0,10,18,8,13,0,31,516,376,0.61,0.38,0.59,0.39
LAC,2016,-5,0.066,0.046,388,24,5896,4386,1510,33,11,5,214,90,21,25,14,1,18,15,10,12,1,35,559,398,0.61,0.39,0.6,0.39
LV,2016,20,0.069,0.046,416,0,6059,4137,1922,29,18,1,198,98,7,19,9,0,16,25,12,20,0,25,589,434,0.59,0.39,0.57,0.42
MIA,2016,12,0.062,0.048,344,6,5540,3716,1824,27,15,1,167,90,15,21,6,0,16,27,11,17,0,33,462,405,0.55,0.44,0.57,0.41
MIN,2016,14,0.054,0.031,289,0,5324,4119,1205,20,10,4,209,66,5,18,10,0,14,24,13,15,1,41,583,382,0.62,0.36,0.59,0.4
NE,2016,20,0.069,0.05,435,0,6328,4456,1872,32,19,0,203,109,2,24,8,0,13,29,11,17,3,34,548,482,0.54,0.44,0.63,0.36
NO,2016,-3,0.068,0.053,477,24,7000,5258,1742,38,18,0,265,105,15,15,8,0,9,19,13,11,1,30,659,407,0.63,0.36,0.6,0.38
NYG,2016,5,0.053,0.033,287,6,5439,4027,1412,26,6,3,190,73,16,20,10,1,17,23,9,14,0,35,582,399,0.61,0.37,0.62,0.37
NYJ,2016,-14,0.051,0.03,279,24,5439,3645,1794,16,12,0,166,97,25,22,9,0,8,22,5,12,0,27,525,419,0.58,0.41,0.57,0.4
PHI,2016,9,0.063,0.034,353,0,5611,3798,1813,16,19,3,192,114,14,27,7,0,16,21,9,14,1,34,595,441,0.59,0.4,0.6,0.38
PIT,2016,8,0.065,0.047,397,0,6137,4377,1760,33,14,1,210,97,15,16,5,0,13,21,8,15,1,38,581,409,0.6,0.38,0.63,0.36
