team,week,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
GB,9,2021,0,0.022,0.017,7,13,312,190,122,1,0,0,11,6,1,2,0,0,0,2,1,0,0,1,33,25,0.58,0.42,0.6,0.37
GB,10,2021,1,0.043,0.029,17,,398,292,106,0,2,0,10,10,1,1,0,0,2,0,0,0,0,3,36,32,0.54,0.46,0.73,0.27
HOU,1,2021,3,0.082,0.054,37,21,451,291,160,2,2,0,13,6,0,1,0,0,3,1,0,1,0,1,33,41,0.45,0.53,0.76,0.22
HOU,2,2021,2,0.068,0.054,21,31,309,227,82,2,1,0,10,5,1,2,0,0,1,3,2,2,0,2,28,28,0.52,0.48,0.4,0.54
HOU,3,2021,0,0.043,0.022,9,24,210,168,42,1,0,0,10,2,0,1,0,0,0,3,0,3,0,3,28,17,0.63,0.35,0.53,0.43
HOU,4,2021,-4,0.000,0.000,,40,135,87,48,0,0,0,4,2,4,2,1,0,1,3,0,2,0,1,17,18,0.57,0.43,0.44,0.53
HOU,5,2021,1,0.058,0.057,22,25,379,312,67,3,0,0,10,2,0,1,1,0,1,1,1,1,0,1,29,24,0.57,0.43,0.49,0.49
HOU,6,2021,-3,0.008,0.000,3,31,367,243,124,0,0,0,12,7,2,1,1,0,0,0,0,0,0,2,41,29,0.61,0.39,0.46,0.52
HOU,7,2021,0,0.017,0.000,3,31,177,135,42,0,0,0,6,0,0,1,1,0,1,1,0,0,1,4,32,15,0.69,0.31,0.46,0.51
HOU,8,2021,-1,0.062,0.057,22,38,354,310,44,2,1,0,13,4,1,2,0,0,0,0,0,0,0,1,38,15,0.75,0.25,0.53,0.47
HOU,9,2021,-1,0.029,0.000,9,17,313,240,73,0,0,0,11,3,3,2,2,0,2,2,2,2,0,4,41,18,0.72,0.27,0.65,0.35
HOU,11,2021,3,0.116,0.032,22,13,190,107,83,0,2,0,5,8,0,2,1,0,4,3,0,2,0,2,24,38,0.39,0.61,0.68,0.32
IND,1,2021,0,0.044,0.029,16,28,364,251,113,2,0,0,14,8,0,1,1,0,0,1,1,1,0,3,38,31,0.57,0.43,0.49,0.51
IND,2,2021,0,0.047,0.017,18,28,381,272,109,1,0,1,13,8,2,0,0,0,1,1,1,1,0,1,34,26,0.61,0.39,0.52,0.48
IND,3,2021,3,0.057,0.018,16,25,281,194,87,0,1,0,8,7,0,0,0,0,2,2,1,2,0,1,37,18,0.68,0.32,0.42,0.55
IND,4,2021,1,0.074,0.046,27,17,367,228,139,2,1,0,9,9,0,1,1,0,0,3,2,1,0,3,32,33,0.51,0.45,0.67,0.33
IND,5,2021,0,0.048,0.049,25,31,525,402,123,2,1,0,16,10,0,1,1,0,0,1,1,1,0,2,35,26,0.59,0.41,0.64,0.36
IND,6,2021,3,0.078,0.087,31,3,397,223,174,2,2,0,8,7,0,0,0,0,2,1,1,1,0,2,20,26,0.46,0.52,0.61,0.39
IND,7,2021,2,0.101,0.068,30,18,298,150,148,2,2,0,6,8,0,4,2,0,2,3,2,2,0,2,26,33,0.46,0.54,0.56,0.43
IND,8,2021,1,0.102,0.058,32,28,314,231,83,3,1,0,10,9,2,1,0,0,2,2,1,1,0,3,49,20,0.72,0.28,0.54,0.44
IND,9,2021,2,0.085,0.100,45,30,532,272,260,3,3,0,17,9,0,2,0,0,1,1,1,1,0,2,30,30,0.51,0.48,0.71,0.28
IND,10,2021,1,0.055,0.016,17,23,307,180,127,0,1,0,9,5,0,0,0,0,0,2,1,1,0,3,34,27,0.56,0.39,0.62,0.38
JAX,1,2021,-3,0.051,0.047,21,37,408,332,76,3,0,0,13,5,3,1,0,0,0,1,0,0,0,1,48,16,0.76,0.22,0.45,0.53
JAX,2,2021,-2,0.067,0.043,13,23,193,118,75,1,1,0,6,3,2,0,0,0,0,0,0,0,0,3,31,16,0.69,0.31,0.55,0.42
JAX,3,2021,-3,0.037,0.033,14,31,378,219,159,1,1,0,10,9,2,5,2,0,1,0,0,0,0,0,32,29,0.55,0.44,0.53,0.47
JAX,4,2021,0,0.061,0.056,21,24,343,204,139,0,3,0,8,12,0,1,0,0,0,0,0,0,0,1,24,30,0.45,0.55,0.6,0.4
JAX,5,2021,-2,0.042,0.048,20,31,471,273,198,1,2,0,12,9,1,1,1,0,0,0,0,0,0,3,32,31,0.54,0.46,0.41,0.59
JAX,6,2021,0,0.057,0.033,23,20,403,319,84,1,1,0,16,4,0,1,1,0,1,1,0,1,0,0,41,19,0.69,0.31,0.69,0.29
