team,season,week,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
NYJ,2021,4,-1,0.074,0.052,27,24,363,297,66,2,1,0,11,4,1,3,0,0,0,1,0,0,0,7,33,25,0.58,0.4,0.61,0.39
NYJ,2021,5,1,0.078,0.041,20,27,256,192,64,0,2,0,9,6,1,1,0,0,0,3,2,3,0,0,31,18,0.66,0.34,0.61,0.37
NYJ,2021,7,-3,0.041,0.034,13,54,315,253,62,1,1,0,13,3,2,1,1,0,0,0,0,0,0,1,40,18,0.71,0.29,0.57,0.39
PHI,2021,1,0,0.073,0.06,32,6,437,264,173,3,1,0,13,10,0,2,0,0,0,1,0,0,0,3,35,32,0.51,0.47,0.59,0.41
PHI,2021,2,0,0.032,0.019,11,17,341,190,151,0,1,0,7,8,0,1,0,0,0,2,0,1,0,0,24,30,0.46,0.52,0.44,0.51
PHI,2021,3,-1,0.041,0.041,16,36,390,326,64,2,0,1,11,1,2,0,0,0,0,2,1,1,0,4,37,12,0.77,0.23,0.42,0.54
PHI,2021,4,1,0.061,0.045,30,42,490,387,103,2,1,0,19,9,0,2,0,0,1,1,0,1,0,1,48,19,0.73,0.27,0.49,0.49
PHI,2021,5,1,0.073,0.034,21,16,289,198,91,0,2,0,8,6,1,2,1,1,3,0,0,0,0,3,36,22,0.65,0.32,0.57,0.43
PHI,2021,6,0,0.102,0.068,22,28,215,115,100,1,2,0,5,8,1,0,0,0,1,0,0,0,0,0,25,19,0.6,0.4,0.58,0.38
PIT,2021,1,1,0.065,0.019,17,22,263,188,75,1,0,0,9,4,0,1,0,0,0,4,1,4,0,3,32,21,0.62,0.33,0.68,0.32
